Name	Latitutde	Longitude	Address	City	State	County	Hours	Phone Number	Type of Gas
Port Norris State Police	39.28804	-75.012461	8861 Highland Street	Port Norris	NJ	Cumberland	7:00 AM - 7:00 PM	609-785-0036	Unleaded
Southwoods State Prison	39.41498116	-75.21248817	1 N. Industrial Blvd & 215 S. Burlington Rd.	Bridgeton	NJ	Cumberland	24 Hours	856-459-7600	Unleaded / Diesel
Vineland DOT	39.45778852	-75.04187987	1959 Delsea Dr. & West Elmer Rd.	Vineland	NJ	Cumberland	24 Hours	856-696-6805	Unleaded / Diesel
Newark DOT	40.70941990	-74.17571162	"Jct. Rts. 1,9,21,22"	Newark	NJ	Essex	24 Hours	973-648-2725	Unleaded / Diesel
West Orange DOT	40.78366162	-74.27598034	1255 Pleasant Valley Way at National Guard Armory	West Orange	NJ	Essex	7:30 AM - 3:45 PM		Unleaded / Diesel
Bridgeport DOT	39.80411480	-75.34441319	Rts. 130 & 322	Bridgeport	NJ	Gloucester	24 Hours	856-467-0737	Unleaded / Diesel
Deptford DOT	39.83225320	-75.09148157	Superior Way off Rt. 41 at Rt. 42	Deptford	NJ	Gloucester	24 Hours	856-227-8080	Unleaded / Diesel
Glassboro DOT	39.69656522	-75.10849719	126 Grove Street at Rt. 47	Glassboro	NJ	Gloucester	24 Hours	856-881-1711	Unleaded / Diesel
West Deptford DOT	39.86494376	-75.14575114	1140 Crown Point Rd. at MP 24 & 25	Westville	NJ	Gloucester	24 Hours	856-845-2850	Unleaded / Diesel
Jersey City DOT	40.73686317	-74.08018562	401 Rts. 1&9 Truck Rte Southbound	Jersey City	NJ	Hudson	24 Hours	201-451-0435	Unleaded / Diesel
Bloomsbury DOT	40.66078600	-75.06664165	1000 Rt. 173	Bloomsbury	NJ	Hunterdon	24 Hours	908-479-4851	Unleaded / Diesel
Clinton Point DOT	40.64038353	-74.88898107	84 Beaver Ave.	Clinton	NJ	Hunterdon	24 Hours	908-735-4002	Unleaded / Diesel
Flemington DOT	40.50922972	-74.85131465	Rt. 31 at Railroad Crossing	Flemington	NJ	Hunterdon	24 Hours	908-782-3025	Unleaded / Diesel
West Amwell DOT	40.38549512	-74.91528086	1406 Rt. 179	West Amwell	NJ	Hunterdon	7:45 AM - 3:45 PM	609-397-2349	Unleaded / Diesel
Eggerts Crossing Garage	40.27274199	-74.74666088	161 Eggerts Crossing Rd.	Lawrenceville	NJ	Mercer	7:15 AM - 3:15 PM	609-530-2073	Unleaded
Fernwood DOT	40.25685605	-74.79821311	999 Parkway Ave.	Trenton	NJ	Mercer	24 Hours	609-530-2208	Unleaded / Diesel
Hamilton DOT	40.20476792	-74.63589228	2779 Kuser Road	Hamilton	NJ	Mercer	24 Hours	609-584-4328	Unleaded / Diesel
Hamilton State Police			1400 Negron Drive	Trenton	NJ	Mercer	7:00 AM - 7:00 PM	609-584-5000	Unleaded
Lawrence Twp. DOT	40.26535133	-74.71632132	2798 Brunswick Avenue	Lawrenceville	NJ	Mercer	24 Hours	609-530-2650	Unleaded / Diesel
Washington Twp. DOT	40.24521913	-74.56851629	Rt. 130 & Voelbel Rd. 	Washington Twp.	NJ	Mercer	24 Hours	609-448-4224	Unleaded / Diesel
West Trenton DOT	40.27645795	-74.82595939	780 Bear Tavern Road	West Trenton	NJ	Mercer	24 Hours	609-883-5049	Unleaded / Diesel
College Farm DOT	40.46633234	-74.43153684	Rt. 1 NB at College Farm Road	North Brunswick	NJ	Middlesex	24 Hours	732-247-5775	Unleaded / Diesel
East Brunswick Public Works	40.44609	-74.407853	4 Harts Lane	East Brunswick	NJ	Middlesex	8:00 AM - 4:00 PM	732-390-6886	Non-Automated
Keasbey/Woodbridge DOT	40.51805278	-74.30968803	Smith St. off Rt. 440 to 90 Crows Mill Road	Keasbey	NJ	Middlesex	24 Hours	732-738-3206	Unleaded / Diesel
Sand Hill DOT	40.41112755	-74.54426021	3919 Rt. 1	Monmouth Junction	NJ	Middlesex	24 Hours	732-297-0671	Unleaded / Diesel
Sayreville DOT	40.49016916	-74.30029538	25 Melrose Avenue	Sayreville	NJ	Middlesex	7:30 AM - 4:00 PM		Diesel
Woodbridge Dev. Center	40.58335914	-74.26800727	1277 Rahway Avenue	Woodbridge	NJ	Middlesex	24 Hours	732-499-5168	Unleaded / Diesel
Freehold DOT	40.24369762	-74.2713046	200 Daniels Way off Rt. 79	Freehold	NJ	Monmouth	24 Hours	732-625-4370	Unleaded / Diesel
Hazlet DOT	40.422786	-74.209831	370 Clark Street 	Hazlet	NJ	Monmouth	7:45 AM - 3:45 PM	732-264-5387	Diesel
Ocean Twp. DOT	40.23280082	-74.06037254	100 Bowne Rd. at Rt. 66	Ocean Township	NJ	Monmouth	24 Hours	732-922-1310	Unleaded / Diesel
Wall Twp. DOT	40.12265214	-74.07707522	2436 Paynters Road	Wall Township	NJ	Monmouth	24 Hours	732-528-7339	Unleaded / Diesel
Netcong DOT	40.89337617	-74.69634695	90 Rt. 183 North	Netcong	NJ	Morris	24 Hours	973-691-4917	Unleaded / Diesel
Riverdale DOT	40.98956980	-74.30105240	1 Riverdale Rd. behind National Guard Armory	Riverdale	NJ	Morris	"Unleaded - 24 Hours 
Diesel - 7:30 AM - 4:00 PM"	973-839-2077	Unleaded / Diesel
Rockaway DOT	40.91857611	-74.58652670	200 Rt. 15 South MP 3	Wharton	NJ	Morris	7:30 AM - 3:45 PM	973-361-8701	Unleaded / Diesel
Lakewood DOT	40.04957180	-74.22339715	45 Honey Locust Drive behind 84 Lumber	Lakewood	NJ	Ocean	24 Hours	732-942-2700	Unleaded / Diesel
Manahawkin DOT	39.69451178	-74.26486765	Rt. 72 at Rt. 9 South to 123 Grassy Hollow Rd.	Manahawkin	NJ	Ocean	7:45 AM - 3:45 PM	609-597-2166	Unleaded / Diesel
Toms River DOT	39.96805337	-74.23567666	743 Rt. 37 West 	Toms River	NJ	Ocean	24 Hours	732-341-2216	Unleaded / Diesel
Clifton DOT	40.838978	-74.161580	Bloomfield Ave East & Isabella St.	Clifton	NJ	Passaic 	24 Hours	201-866-7274	Unleaded / Diesel
Totowa DOT	40.89776431	-74.22975736	300 Minisink Rd. off Rt. 80 West Bound	Totowa	NJ	Passaic 	24 Hours	973-785-9310	Unleaded / Diesel
Paterson DOT	40.93588669	-74.14187188	1 McClean Blvd.	Paterson	NJ	Passaic 	24 Hours	973-278-5541	Unleaded / Diesel
Deepwater DOT	39.677937	-75.486985	County Rd. 551 Exit 1C Rt. 295 SB	Deepwater	NJ	Salem	24 Hours	856-299-3407	Unleaded / Diesel
Elmer DOT	39.598444	-75.149157	355 Rt. 40 MP 21.5	Pittsgrove	NJ	Salem	7:30 AM - 3:45 PM	856-358-8813	Unleaded / Diesel
Bedminster DOT	40.65123677	-74.64499021	455 Rt. 202/206 South	Pluckemin	NJ	Somerset	24 Hours	908-234-2130	Unleaded / Diesel
Bridgewater DOT	40.58997095	-74.62639744	150 Commons Way	Bridgewater 	NJ	Somerset	24 Hours	908-704-3096	Unleaded / Diesel
Branchville DOT	41.15154413	-74.76831456	349 Rt. 206	Branchville	NJ	Sussex	24 Hours	973-948-3590	Unleaded / Diesel
Lafayette DOT	41.09273553	-74.67791503	38 Rt. 94	Lafayette	NJ	Sussex	24 Hours	973-383-3003	Unleaded / Diesel
Sussex DOT	41.199888	-74.597297	Rt. 24 North at County Rd. 565	Sussex	NJ	Sussex	7:30 AM - 3:45 PM	973-875-4719	Unleaded / Diesel
Summit DOT	40.716273	-74.329762	46 Springfield Avenue 	Summit	NJ	Union	7:30 AM - 4:00 PM	973-376-1302	Unleaded / Diesel
Columbia DOT	40.935311	-75.101895	24 Simpson Street	Columbia	NJ	Warren	24 Hours	908-496-4088	Unleaded / Diesel
Port Colden DOT	40.76586	-74.93224	619 Rt. 57 behind State Police Building	Port Colden	NJ	Warren	24 Hours	908-689-0570	Unleaded / Diesel
Yellow Frame DOT	40.98829409	-74.88516556	Rt. 94 between Mott Rd. & Kerr Rd.	Marksboro	NJ	Warren	7:45 AM - 3:45 PM	908-362-6896	Diesel
