Owner	Route	STR NO	Structure Name	MP xxxx.xxx	Latitude ddmmss.ss	Longitude ddmmss.ss	County	Municipality
State Routes	1+9	0202159	"US 1, 9 AND 46 OVER JONES ROAD"	0064.580	40.51306	-73.584296	BERGEN	Fort Lee borough
State Routes	1+9	0202160	US 1&9 NB AND US 46 EB OVER NJ 4 EB & NJ 4 RAMP B	0064.730	40.512982	-73.583714	BERGEN	Fort Lee borough
State Routes	1+9	0202161	"US1+9 SB & US 46 WB / I-95, NJ4 EB,& RAMPS B&L"	0064.720	40.51321	-73.583576	BERGEN	Fort Lee borough
State Routes	1+9	0701150	McCLELLAN STREET/ROUTE US 1&9	0000.600	40.411726	-74.113219	ESSEX	Newark city
State Routes	1+9	0701152	HAYNES AVENUE OVER ROUTE US 1&9	0000.570	40.420767	-74.110515	ESSEX	Newark city
State Routes	1+9	0701153	ROUTE US 1&9 OVER PEDDIE DITCH	0047.660	40.422083	-74.105404	ESSEX	Newark city
State Routes	1+9	0703150	ROUTE US 1&9 OVER ROUTE I-78	0048.900	40.423345	-74.09393	ESSEX	Newark city
State Routes	1+9	0703151	"US 1&9 NB/OAK ISL RR YD, FRONTAGE RD."	0049.300	40.424248	-74.093108	ESSEX	Newark city
State Routes	1+9	0703152	US 1&9 SB OVER OAK ISLAND RR YD & STREETS	0049.090	40.424214	-74.093009	ESSEX	Newark city
State Routes	1+9	0703153	SOUTH STREET VIADUCT OVER CONRAIL	0001.090	40.43047	-74.093588	ESSEX	Newark city
State Routes	1+9	0703154	ROUTE US 1&9 NB OVER DELANCEY STREET	0049.550	40.430022	-74.090563	ESSEX	Newark city
State Routes	1+9	0703155	US ROUTE 1 & 9 NORTHBOUND OVER CONRAIL (ABANDONED)	0049.680	40.4305	-74.0902	ESSEX	Newark city
State Routes	1+9	0703156	ROUTE US 1&9 NB OVER WILSON AVENUE	0049.910	40.4315	-74.085356	ESSEX	Newark city
State Routes	1+9	0703160	"US ROUTE 1&9 NB/CONRAIL, RICHARDS LANE & ACCESS RD"	0050.570	40.4336	-74.082	ESSEX	Newark city
State Routes	1+9	0703161	US 1&9 SB / CONRAIL & HAWKINS STREET	0050.570	40.433682	-74.082051	ESSEX	Newark city
State Routes	1+9	0703168	ROUTE US 1&9 NB OVER MAGAZINE STREET	0050.150	40.432445	-74.084062	ESSEX	Newark city
State Routes	1+9	0703169	US 1&9 SB / MAGAZINE ST.	0050.150	40.432448	-74.084063	ESSEX	Newark city
State Routes	1+9	0703170	ROUTE US 1&9 NB/SAINT CHARLES STREET	0050.320	40.432906	-74.083233	ESSEX	Newark city
State Routes	1+9	0703171	US 1&9 SB OVER ST. CHARLES ST.	0050.320	40.432971	-74.083307	ESSEX	Newark city
State Routes	1+9	0703172	ROUTES US 1&9 NB OVER ROANOKE STREET	0050.730	40.434273	-74.08085	ESSEX	Newark city
State Routes	1+9	0703173	US RTE 1&9 SB / ROANOKE AVENUE	0050.730	40.434271	-74.081005	ESSEX	Newark city
State Routes	1+9	0703174	US ROUTE 1&9 NB OVER CONRAIL (CRRNJ BR)	0050.800	40.4344	-74.0806	ESSEX	Newark city
State Routes	1+9	0703175	US 1&9 SB / CONRAIL (BRANCH)	0050.800	40.434462	-74.080683	ESSEX	Newark city
State Routes	1+9	0703176	ROUTE US 1&9 NB OVER FOUNDRY STREET	0050.960	40.4349	-74.0757	ESSEX	Newark city
State Routes	1+9	0703177	US 1&9 SB / FOUNDRY ST.	0050.960	40.434976	-74.075753	ESSEX	Newark city
State Routes	1+9	0704150	US 1&9 (PULASKI SKYWAY) OVER PASSAIC RIVER	0051.170	40.435666	-74.07457	ESSEX	Newark city
State Routes	1+9	0901150	US 1&9 (PULASKI SKYWAY) / HACKENSACK RIVER	0051.850	40.440576	-74.070314	HUDSON	Jersey City city
State Routes	1+9	0902150	US ROUTE 1 & 9 (TONNELE AVENUE) / NJ TRANSIT	0054.720	40.4426	-74.0351	HUDSON	Jersey City city
State Routes	1+9	0902151	US ROUTE 1&9 (TONNELE AVE)/CONRAIL (SUSQU CONNEC)	0054.790	40.4427	-74.032	HUDSON	Jersey City city
State Routes	1+9	0902152	RT US 1&9(TONNELLE AVE)OVER AMTRAK	0057.170	40.461782	-74.023429	HUDSON	North Bergen township
State Routes	1+9	0902154	SECAUCUS RD/CONRAIL & SUSQUEHANNA & WESTERN RR	0000.550	40.453976	-74.030919	HUDSON	North Bergen (CDP)
State Routes	1+9	0902155	RAMP H OVER DELL AVENUE	0056.240	40.45386	-74.030537	HUDSON	Secaucus town
State Routes	1+9	0903150	US ROUTE 1 & 9 OVER CONRAIL LIGHT RAIL	0058.410	40.47143	-74.01532	HUDSON	North Bergen township
State Routes	1+9	0903151	PATERSON PLANK RD (CR 681) OVER ROUTE US 1 & 9	0003.680	40.464529	-74.021999	HUDSON	North Bergen township
State Routes	1+9	0903152	"PATERSON PLANK RD-CR 681 / WEST SIDE,36TH & CONRA"	0003.950	40.464886	-74.022609	HUDSON	North Bergen township
State Routes	1+9	1205150	US 1&9 OVER NJ 35	0036.420	40.341675	-74.173419	MIDDLESEX	Woodbridge Township (CDP)
State Routes	1+9	1205151	US RTE 1&9/NJ TRANSIT (NJ COAST LINE) & INMAN AVE	0037.800	40.3515	-74.1642	MIDDLESEX	Woodbridge Township (CDP)
State Routes	1+9	2001150	US 1+9 RAMP C OVER E HAZLEWOOD (CR621)&RAHWAY RIVR	0038.630	40.355625	-74.161576	UNION	Rahway city
State Routes	1+9	2001154	US 1&9 OVER  WEST BROOK	0040.880	40.372772	-74.144356	UNION	Linden city
State Routes	1+9	2001155	US 1&9 OVER  PEACH ORCHARD BROOK	0041.820	40.380834	-74.140702	UNION	Linden city
State Routes	1+9	2001157	"US 1&9 OV RAHWAY RV, CR514, CR621, RESOURCE REC.DR"	0038.630	40.355574	-74.161368	UNION	Rahway city
State Routes	1+9	2002150	ELIZABETH RIVER VIADUCT	0043.820	40.392208	-74.123924	UNION	Elizabeth city
State Routes	1+9	2002152	MAGNOLIA AVENUE OVER US ROUTE 1&9	0000.000	40.40015	-74.12141	UNION	Elizabeth city
State Routes	1+9T	0705150	RT US 1+9T SB OVER RAYMOND BOULEVARD	0000.140	40.440384	-74.073372	ESSEX	Newark city
State Routes	1+9T	0705151	US 1&9T OVER PASSAIC RIVER & LOCAL ROADS	0000.560	40.43582	-74.071332	ESSEX	Newark city
State Routes	1+9T	0905150	CENTRAL AVENUE (CR 659) OVER ROUTE US 1+9T	0001.820	40.434836	-74.063378	HUDSON	Kearny town
State Routes	1+9T	0905152	US 1&9T OVER HACKENSACK RIVER	0001.720	40.434156	-74.060533	HUDSON	Jersey City city
State Routes	1+9T	0906155	US ROUTE 1&9T OVER J.C. WATER MAINS	0003.750	40.44207	-74.042124	HUDSON	Jersey City city
State Routes	1+9T	0906156	US 1+9T/ST PAUL & CONRAIL	0003.870	40.4421	-74.041656	HUDSON	Jersey City city
State Routes	1+9T	0906157	RT. 1+9  RAMP 1B TO 1+9T WB OVER J.C.WATER MAINS	0003.950	40.442166	-74.04018	HUDSON	Jersey City city
State Routes	1+9T	0906158	RAMP FROM NJ 139 TO US 1&9T/TONNELE A	0004.110	40.442196	-74.03573	HUDSON	Jersey City city
State Routes	1+9T	0906160	US 1+9T OVER CHARLOTTE AVENUE	0003.660	40.7392	-74.0736	HUDSON	Jersey City city
State Routes	1B	1102150	US 1B OVER FIVE MILE RUN	0001.510	40.1524	-74.4342	MERCER	Lawrence township
State Routes	1B	1141150	US 1B NB/FIVE MILE RUN	0002.580	40.160354	-74.424992	MERCER	Lawrence township
State Routes	3	0203151	CR 30 (PARK AVENUE) OVER ROUTE NJ 3	0000.700	40.491578	-74.071356	BERGEN	Rutherford borough
State Routes	3	0203152	RIDGE ROAD OVER ROUTE 3	0000.020	40.45594	-74.064446	BERGEN	Rutherford borough
State Routes	3	0203153	ORIENT WAY OVER NJ ROUTE 3	0000.040	40.485166	-74.063192	BERGEN	Rutherford borough
State Routes	3	0204150	"ROUTE 3/SERVICE RD,BERRY_S CREEK,RR"	0006.920	40.483773	-74.053712	BERGEN	East Rutherford borough
State Routes	3	0204151	NJ 3WB / HACKENSACK RIVER & MEADOWLAND PKWY	0008.500	40.521683	-74.081821	BERGEN	East Rutherford borough
State Routes	3	0204152	NJ RT 3 EB/HACKENSACK RVR & MEADOWLND PKWY	0008.490	40.475388	-74.041656	BERGEN	East Rutherford borough
State Routes	3	0907152	PATERSON PLANK ROAD (CR 681) OVER NJ 3	0005.310	40.47384	-74.032958	HUDSON	Secaucus town
State Routes	3	0908150	PATERSON PLANK RD (CR 681)/ RT3	0004.330	40.47018	-74.02528	HUDSON	Secaucus town
State Routes	3	0908152	NJ RT 3EB & S.SVC.RD/RT495 RAMP J	0010.330	40.46372	-74.025004	HUDSON	North Bergen township
State Routes	3	0908153	NJ 3/NORTHERN SEC. & RAMP A	0010.740	40.462994	-74.023438	HUDSON	North Bergen township
State Routes	3	1601150	GROVE ST (CR 623) / NJ RT 3	0000.880	40.515526	-74.115616	PASSAIC	Clifton city
State Routes	3	1601151	NJ RT 3 / BROAD ST (CR 509)	0001.260	40.511842	-74.104116	PASSAIC	Clifton city
State Routes	3	1601152	HEPBURN ROAD OVER NJ 3	0000.000	40.505638	-74.10213	PASSAIC	Clifton city
State Routes	3	1601153	NJ ROUTE 3 OVER BLOOMFIELD AVE (CR 622)	0002.640	40.502508	-74.095274	PASSAIC	Clifton city
State Routes	3	1601154	NJ RT. 3 / NORFOLK SOUTHERN RR (NEWARK BRANCH)	0002.840	40.50199	-74.092952	PASSAIC	Clifton city
State Routes	3	1601155	NJ RT 3 / PASSAIC AVE. (CR 603)	0003.420	40.500438	-74.085412	PASSAIC	Clifton city
State Routes	3	1601156	NJ 3 / MAIN AVE (CR 601)	0003.820	40.495352	-74.083018	PASSAIC	Clifton city
State Routes	3	1601157	NJ RT 3 / THIRD RIVER	0003.910	40.495154	-74.082592	PASSAIC	Clifton city
State Routes	3	1601160	NJ RT 3 / UPPER POND SPILLWAY	0004.390	40.013744	-74.075826	PASSAIC	Clifton city
State Routes	3	1601161	NJ RT 3 OVER RIVER RD (CR 624)	0004.420	40.49372	-74.07555	PASSAIC	Clifton city
State Routes	3	1601162	NJ 3/NJ TRANSIT & SERVICE RD	0004.640	40.493076	-74.074435	PASSAIC	Clifton city
State Routes	3	1601163	RT 3 OV RT 21 RMP TO Rt. 3 EB/RT 3 RMP TO RT 21 NB	0004.700	40.49491	-74.074146	PASSAIC	Clifton city
State Routes	3	1601164	RT3 OVER PASSAIC RIV & RT21	0004.890	40.492099	-74.072178	PASSAIC	Clifton city
State Routes	3	1603151	KINGSLAND AVE / RAMP( RT NJ 3EB to RT NJ 21 SB)	0000.000	40.492491	-74.074366	PASSAIC	Clifton city
State Routes	4	0205150	"NJ 4 / PASSAIC RIVER, NJ 20, & RIVER RD (CR 507)"	0000.130	40.549146	-74.074887	BERGEN	Elmwood Park borough
State Routes	4	0205152	NJ 4 OVER NJ 208 SB & RAMPS	0002.000	40.553597	-74.054421	BERGEN	Fair Lawn borough
State Routes	4	0206151	NJ 4 / SADDLE RIVER	0002.280	40.553342	-74.052904	BERGEN	Fair Lawn borough
State Routes	4	0206152	PARAMUS ROAD (C.R. 62) OVER NJ 4	0003.690	40.55322	-74.052206	BERGEN	Paramus borough
State Routes	4	0206153	NJ RT 4 / SPROUT BROOK	0003.140	40.551718	-74.043352	BERGEN	Paramus borough
State Routes	4	0206154	FARVIEW AVENUE (CR 61) OVER NJ 4	0004.970	40.551092	-74.040762	BERGEN	Paramus borough
State Routes	4	0206155	SPRING VALLEY RD OVER RT NJ 4	0000.910	40.55041	-74.034106	BERGEN	Paramus borough
State Routes	4	0206159	FOREST AVE (CR 59) OVER ROUTE NJ 4	0002.000	40.545732	-74.031737	BERGEN	Paramus borough
State Routes	4	0206163	"NJ 4/KINDERKAMACK RD (CO. 51), NJT, COLES BROOK"	0005.390	40.543255	-74.021165	BERGEN	Hackensack city
State Routes	4	0206165	HACKENSACK AVE (RT 503) OVER ROUTE NJ 4	0007.040	40.542016	-74.015945	BERGEN	Hackensack city
State Routes	4	0206166	NJ 4 / HACKENSACK RIVER & COVE ROAD	0005.940	40.541098	-74.015028	BERGEN	Hackensack city
State Routes	4	0206167	NJ 4 / RIVER ROAD (Co. Rt. 41)	0006.230	40.535832	-74.013672	BERGEN	Teaneck township
State Routes	4	0206168	GARRISON AVE OVER ROUTE NJ 4	0000.000	40.534361	-74.01057	BERGEN	Teaneck township
State Routes	4	0206169	"NJ 4 / PALISADE AVE., WINDSOR RD. & CSX RR"	0007.000	40.533958	-74.005407	BERGEN	Teaneck township
State Routes	4	0206171	ROUTE NJ 4 OVER QUEEN ANNE RD	0007.140	40.533521	-74.004193	BERGEN	Teaneck township
State Routes	4	0206172	MARGARET ST OVER NJ 4	0000.000	40.533103	-74.00292	BERGEN	Teaneck township
State Routes	4	0206173	ROUTE NJ 4 OVER TEANECK RD (CR 39)	0007.590	40.532561	-74.00131	BERGEN	Teaneck township
State Routes	4	0206174	RT NJ 4 OVER WEBSTER AVE	0008.080	40.531597	-73.594215	BERGEN	Teaneck township
State Routes	4	0206175	RT NJ 4 OVER PROPOSED LAFAYETTE AVE. EXT.	0008.250	40.531032	-73.593295	BERGEN	Teaneck township
State Routes	4	0206176	NJ 4 OVER OVERPECK CREEK	0008.520	40.530049	-73.592015	BERGEN	Englewood city
State Routes	4	0206177	"NJ 4 / S. DEAN ST,NORDHOFF PL,CSX RR"	0008.820	40.525089	-73.590402	BERGEN	Englewood city
State Routes	4	0206179	"NJ 4 OVER GRAND AVE (NJ 93, CR 501)"	0009.040	40.524398	-73.58519	BERGEN	Englewood city
State Routes	4	0206180	NJ ROUTE 4 / BROAD AVE.	0009.290	40.523629	-73.583826	BERGEN	Englewood city
State Routes	4	0206181	NJ ROUTE 4/FLAT ROCK BROOK	0009.540	40.522769	-73.58254	BERGEN	Englewood city
State Routes	4	0206182	JONES ROAD/NJ ROUTE 4	0000.250	40.522358	-73.582262	BERGEN	Englewood city
State Routes	4	0206184	"NJ 4 EB & RMP R/I-95 EXP, SB LOCAL & RAMP J"	0010.220	40.515603	-73.582778	BERGEN	Fort Lee borough
State Routes	4	0206185	NJ RT. 4 EB / I-95 NB LOCAL	0010.280	40.515248	-73.582893	BERGEN	Fort Lee borough
State Routes	4	0206186	NJ 4 WB & RAMP E / I-95 SB LOCAL & RAMPS F & G	0010.590	40.513547	-73.582853	BERGEN	Fort Lee borough
State Routes	4	0206187	NJ 4 EB / I-95 RAMP L	0010.680	40.513024	-73.583306	BERGEN	Fort Lee borough
State Routes	4	0206188	JOHNSON AVE / COLES BROOK	0000.150	40.543309	-74.021818	BERGEN	River Edge borough
State Routes	4	0206189	KINDERKAMACK ROAD (CO. RT. 51) / COLES BROOK	0001.300	40.543313	-74.020938	BERGEN	Hackensack city
State Routes	4	0206190	"NJ 4 Ramp to NJ 4 WB over NJ 4, NJ 17 & RAMP"	0003.340	40.551044	-74.041944	BERGEN	Paramus borough
State Routes	4	0206192	IKEA DRIVE / NJ RT 4&RAMPS C-D	0000.000	40.551866	-74.044038	BERGEN	Paramus borough
State Routes	4	0206193	"RAMP SE/NJ RT.4,RT.17 & VARIOUS RAMPS"	0003.340	40.551027	-74.041955	BERGEN	Paramus borough
State Routes	4	1602151	NJ 4 RAMP B OVER NJ 20 SB	0000.080	40.550214	-74.075694	PASSAIC	Paterson city
State Routes	5	0207150	NJ RT 5 OVER DELIA BOULEVARD	0000.480	40.5024	-73.5942	BERGEN	Palisades Park borough
State Routes	7	0208150	NJ ROUTE 7 OVER PASSAIC RIVER	0005.280	40.471078	-74.084891	BERGEN	North Arlington borough
State Routes	7	0909150	WITPENN-NJ RTE 7 OVER HACKENSACK R	0000.120	40.442022	-74.04374	HUDSON	Jersey City city
State Routes	7	0909151	RT 7 (BLVLE TPK) NJ TRANSIT	0001.160	40.444878	-74.054615	HUDSON	Kearny town
State Routes	7	0909152	NJ 7 RAMPS A AND D / NJ 7 NB & RAMP A SB	0000.670	40.443394	-74.050978	HUDSON	Kearny town
State Routes	7	0910150	NEWARK TURNPIKE (CR 508) / NJ 7 SB & RAMP H NB	0015.800	40.44474	-74.055958	HUDSON	Kearny town
State Routes	7	0910153	NJ 7/CONRAIL(NEWARK BRANCH abandonded)	0002.510	40.45234	-74.064074	HUDSON	Kearny town
State Routes	7	0910154	NJ 7/BOONTON LINE (NJT)	0003.000	40.454218	-74.070222	HUDSON	Kearny town
State Routes	9	0101150	US 9 OVER ABSECON CREEK	0042.440	39.2518	-74.303	ATLANTIC	Absecon City
State Routes	9	0102151	US 9 OVER NACOTE CREEK & LINDBERGH AVENUE	0051.400	39.315827	-74.275029	ATLANTIC	Port Republic city
State Routes	9	0302150	US RT 9 (NEW YORK RD) OVER BASS RIVER	0057.060	39.35358	-74.263431	BURLINGTON	Bass River township
State Routes	9	0302151	U.S.ROUTE 9 OVER JOBS CREEK	0058.050	39.353	-74.253	BURLINGTON	Bass River township
State Routes	9	1206151	US9 OVER DEEP RUN BROOK	0123.220	40.2306	-74.183	MIDDLESEX	Old Bridge township
State Routes	9	1206153	US9 OVER OLD BRIDGE ROAD (CO516)	0124.380	40.2406	-74.1824	MIDDLESEX	Old Bridge township
State Routes	9	1206157	TICETOWN RD OVER US 9 & RAMP	0123.710	40.234774	-74.1828	MIDDLESEX	Old Bridge township
State Routes	9	1207150	US 9 OVER BORDENTOWN AVE (CO.615)	0128.990	40.28	-74.1749	MIDDLESEX	Sayreville borough
State Routes	9	1207151	MAIN STREET/CONRAIL(ABANDONED)	0000.000	40.284074	-74.17246	MIDDLESEX	South Amboy city
State Routes	9	1207152	ROUTE US 9 OVER ERNSTON ROAD	0128.070	40.271549	-74.174892	MIDDLESEX	Sayreville borough
State Routes	9	1207153	MAIN ACCESS ROAD OVER U.S. RT.9.	0000.000	40.2648	-74.18	MIDDLESEX	Old Bridge township
State Routes	9	1208150	US 9 NB & NJ 35 over US 9 NB and Main Street	0129.820	40.284016	-74.172596	MIDDLESEX	South Amboy city
State Routes	9	1208151	US9&35/WASHINGTON AVE( CO670)	0130.050	40.2842	-74.173	MIDDLESEX	South Amboy city
State Routes	9	1208152	RT US 9 & NJ 35 over CONRAIL(ABANDON)	0130.110	40.284553	-74.173283	MIDDLESEX	South Amboy city
State Routes	9	1208153	US 9 &RT.35 OVER CONRAIL.	0130.230	40.2848	-74.1742	MIDDLESEX	South Amboy city
State Routes	9	1208154	US9&RT35/CONRAIL(ABANDONED)	0130.350	40.2855	-74.1749	MIDDLESEX	South Amboy city
State Routes	9	1208155	US 9 & NJ 35 /  RARITAN STREET	0130.460	40.2854	-74.1748	MIDDLESEX	South Amboy city
State Routes	9	1208157	ANDREJEWSKI DRIVE OVER US 9	0000.000	40.2924	-74.1748	MIDDLESEX	Sayreville borough
State Routes	9	1209155	"U.S. RT 9 NB / RARITAN RIVER, C.R. 656 AND RAMP R"	0132.290	40.301357	-74.180179	MIDDLESEX	Woodbridge township
State Routes	9	1209156	"U.S. RT 9 SB / RARITAN RIVER, C.R. 656, AND RAMP R"	0132.290	40.305699	-74.180067	MIDDLESEX	Woodbridge township
State Routes	9	1209157	US 9 OVER NJ 35 SB & CHEVALIER AVENUE	0131.390	40.29465	-74.17525	MIDDLESEX	Sayreville borough
State Routes	9	1210150	US 9 OVER MAIN ST	0135.210	40.33	-74.173	MIDDLESEX	Woodbridge township
State Routes	9	1210151	US ROUTE 9 OVER METUCHEN AVE	0135.340	40.33065	-74.17273	MIDDLESEX	Woodbridge Township (CDP)
State Routes	9	1210152	US 9 NB over CR 604 EB (GREEN Street)	0135.830	40.333075	-74.174088	MIDDLESEX	Woodbridge Township (CDP)
State Routes	9	1210154	US 9 SB  over CR 604 WB (GREEN Street)	0136.080	40.33412	-74.174787	MIDDLESEX	Woodbridge Township (CDP)
State Routes	9	1301150	RT 9 / MANASQUAN RVR	0110.030	40.121536	-74.152162	MONMOUTH	Howell township
State Routes	9	1301151	US 9 OVER DEBOIS CREEK	0111.050	40.1306	-74.1548	MONMOUTH	Freehold township
State Routes	9	1302150	WEST MAIN STREET (CR 537) OVER US 9	0051.320	40.150633	-74.171195	MONMOUTH	Freehold borough
State Routes	9	1303150	US 9 OVER CR 522 & CONRAIL	0114.890	40.155991	-74.173747	MONMOUTH	Freehold township
State Routes	9	1303155	US 9 OVER MILFORD BROOK	0117.700	40.182188	-74.181357	MONMOUTH	Manalapan township
State Routes	9	1303156	CR 3 (TENNENT/MORGANVILLE RD) / US 9	0003.650	40.190358	-74.182134	MONMOUTH	Manalapan township
State Routes	9	1303161	UNION HILL ROAD OVER US 9	0001.540	40.2024	-74.1824	MONMOUTH	Marlboro township
State Routes	9	1501155	US ROUTE 9 OVER WESTECUNK CREEK.	0065.950	39.381803	-74.181673	OCEAN	Eagleswood township
State Routes	9	1501159	US 9 OVER MILL CREEK	0070.580	39.41404	-74.153619	OCEAN	Stafford township
State Routes	9	1502152	ROUTE US 9 OVER WARETOWN CREEK	0078.290	39.473462	-74.114572	OCEAN	Ocean township
State Routes	9	1502153	US 9 OVER OYSTER CREEK	0079.560	39.484	-74.11585	OCEAN	Lacey township
